序号,酒店名,清洁程度,舒适程度,位置,设施/服务,员工素质,性价比,免费WiFi,评论数,价格,综合评价,离中心地区距离
58,上海银星皇冠假日酒店,7.8,7.9,8.1,7.6,8.2,7,7.3,242,890,好,5
59,上海辉盛庭国际公寓,8.9,9,9,8.7,8.7,8.3,8.3,NaN,NaN,很棒,NaN
60,上海浦西万怡酒店,8.9,8.9,8.4,8.6,8.7,8,7.9,687,658,很棒,NaN
61,上海大华锦绣假日酒店,8.7,8.6,7.3,8.3,8.3,8.1,7.2,346,590,非常好,7
62,上海浦东假日酒店,8.3,8.2,8,8.1,8.2,7.3,7.7,348,799,非常好,5
63,上海南翔佳日酒店,8.7,8.8,8.2,8.3,8.5,8.3,5.8,30,688,非常好,6
64,上海柏阳君亭酒店,8.5,8.4,6.7,8,8.1,8.1,7.4,175,598,非常好,6
65,上海裕景大饭店,NaN,NaN,NaN,NaN,NaN,NaN,NaN,304,651,好,NaN
66,全季上海虹桥国展中心纪翟路酒店,8.1,8,5.8,7.6,7.3,7.5,7,95,436,好,8
67,虹桥锦江大酒店（原虹桥喜来登上海太平洋大饭店）,7.9,7.8,7.8,7.4,7.9,6.6,7.1,238,700,好,7
68,上海千禧海鸥大酒店,8.1,8.2,8.1,7.9,7.7,7.2,7.4,489,720,好,8
69,九熠圣天地公寓,8.7,8.8,9.1,8.8,9.3,8.8,8.9,428,488,很棒,NaN
70,上海复旦皇冠假日酒店,8.5,8.4,7.8,8.1,8,7.5,6.4,199,750,非常好,7
71,上海金桥中心智选假日酒店,7.2,6.8,6.3,6.5,6.7,6.7,6.9,144,411,评分,0
72,上海贝尔特酒店,8.1,8,8.6,7.7,8,7.6,6.4,NaN,NaN,非常好,5
73,锦江都城经典上海南京饭店,9.2,8.7,9.6,8.5,8.4,8.2,7.3,280,NaN,很棒,NaN
74,上海天山广场凯悦嘉轩酒店,9.2,8.7,8.5,8.3,8.4,7.8,7.7,188,876,非常好,7
75,上海新发展亚太JW万豪酒店,8.6,8.6,7.6,8.2,8.3,7.6,8.3,161,NaN,非常好,7
76,人民广场云居公寓,9.6,9.5,9.7,9.5,9.6,9.7,7.5,34,NaN,优异的,NaN
77,上海静安英迪格酒店,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
78,乐泰精品花庭酒店,7.9,7.2,6.3,7.1,7.2,6.8,5.9,139,477,好,0
79,上海北方智选假日酒店,7.5,7.7,7.3,7.4,7.7,7.6,7.3,NaN,428,好,NaN
80,同济君禧大酒店,8.6,8.6,8.8,8.7,8.8,8,7.9,147,NaN,很棒,NaN
81,宜必思上海长寿路酒店,8,7.7,8.4,7.7,8.2,7.6,8.1,56,408,非常好,NaN
82,上海携程美居酒店,9.2,9,8.4,8.8,8.8,8.5,8,127,602,很棒,1
83,锦江都城经典上海静安寺酒店(原达华宾馆),8.1,7.9,7.8,7.8,7.7,7.8,6.6,208,599,好,NaN
84,上海懒人民宿原法租界店,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
85,上海GoodTime精品设计公寓,8.9,8.9,9.2,8.9,9,9,5,44,NaN,好极了,NaN
86,上海静安洲际酒店,8.9,8.8,8.2,8.7,8.5,8.1,7.5,370,NaN,非常好,NaN
87,上海辉盛庭国际公寓,8.9,9,9,8.7,8.7,8.3,8.3,NaN,NaN,很棒,NaN
